Type,Date,StrikePrice,Open,High,Low,Close,Vol/Prev,CE/PE,OI,COI,Volume
PE,2022-01-03,15500.0,13.9,13.9,9.0,9.4,0,NA,1040100,44050,7014
PE,2022-01-04,15500.0,8.55,9.35,7.75,8.2,0.75,NA,1011250,-28850,5288
PE,2022-01-05,15500.0,8.0,9.9,7.45,8.4,1.5,NA,1050650,39400,7927
PE,2022-01-06,15500.0,11.0,13.0,6.95,7.35,0.88,NA,1122950,72300,7015
PE,2022-01-07,15500.0,8.0,8.5,5.55,5.8,0.68,NA,1180600,57650,4762
PE,2022-01-10,15500.0,5.45,5.5,4.15,4.4,0.67,NA,1135450,-45150,3192
PE,2022-01-11,15500.0,4.5,4.85,3.85,3.95,0.72,NA,1129700,-5750,2293
PE,2022-01-12,15500.0,3.95,4.0,3.25,3.65,1.66,NA,1107900,-21800,3811
PE,2022-01-13,15500.0,3.65,3.85,3.0,3.35,1.11,NA,1078150,-29750,4248
PE,2022-01-14,15500.0,3.0,3.65,2.15,2.25,0.63,NA,1108650,30500,2697
PE,2022-01-17,15500.0,2.45,2.45,1.85,2.05,1.12,NA,1069650,-39000,3018
PE,2022-01-18,15500.0,1.9,2.1,1.5,1.7,1.11,NA,1047750,-21900,3335
PE,2022-01-19,15500.0,1.95,2.3,1.25,1.5,1.47,NA,1010700,-37050,4910
PE,2022-01-20,15500.0,1.9,1.95,1.1,1.75,3.04,NA,1258950,248250,14917
PE,2022-01-21,15500.0,11.9,11.9,1.05,1.2,2.57,NA,1436250,177300,38264
PE,2022-01-24,15500.0,2.0,5.55,0.85,2.05,3.15,NA,2025550,589300,120447
PE,2022-01-25,15500.0,3.0,7.7,0.8,1.0,2.29,NA,1797900,-227650,275900
PE,2022-01-27,15500.0,0.95,1.8,0.05,0.1,0.2,NA,1322700,-475200,54691
PE,2022-01-03,16000.0,27.55,54.4,16.0,16.9,0,NA,1825600,-191900,23666
PE,2022-01-04,16000.0,12.25,17.8,12.25,13.4,0.71,NA,1734950,-90650,16799
