Type,Date,StrikePrice,Open,High,Low,Close,Vol/Prev,CE/PE,OI,COI,Volume
PE,2022-08-01,15000.0,7.8,8.75,5.45,7.15,0,NA,1600600,-104050,9185
PE,2022-08-02,15000.0,7.8,8.25,6.05,7.45,1.13,NA,1559250,-41350,10381
PE,2022-08-03,15000.0,7.4,9.1,6.85,7.3,1.3,NA,1269600,-289650,13466
PE,2022-08-04,15000.0,7.3,18.35,6.45,8.5,1.11,NA,1213200,-56400,14977
PE,2022-08-05,15000.0,8.4,8.45,6.65,7.2,0.42,NA,1243350,30150,6222
PE,2022-08-08,15000.0,6.95,7.75,5.0,5.35,1.33,NA,1210000,-33350,8303
PE,2022-08-10,15000.0,5.05,5.65,4.05,4.3,0.5,NA,1194750,-15250,4142
PE,2022-08-11,15000.0,4.35,4.8,2.25,2.65,1.79,NA,1158200,-36550,7402
PE,2022-08-12,15000.0,2.7,2.7,1.85,2.25,0.44,NA,1125450,-32750,3283
PE,2022-08-16,15000.0,2.3,2.8,1.45,2.3,2.0,NA,1062550,-62900,6576
PE,2022-08-17,15000.0,2.05,2.55,1.7,2.15,0.88,NA,1010500,-52050,5772
PE,2022-08-18,15000.0,1.35,2.2,1.0,1.15,1.83,NA,1046350,35850,10544
PE,2022-08-19,15000.0,1.1,1.3,0.8,0.9,1.59,NA,1075800,29450,16720
PE,2022-08-22,15000.0,0.9,1.15,0.65,0.75,1.1,NA,929900,-145900,18398
PE,2022-08-23,15000.0,0.75,1.0,0.55,0.85,1.07,NA,996700,66800,19752
PE,2022-08-24,15000.0,0.7,0.9,0.3,0.45,1.09,NA,944300,-52400,21510
PE,2022-08-25,15000.0,0.35,0.35,0.05,0.1,0.73,NA,842150,-102150,15685
PE,2022-08-01,15500.0,16.15,16.2,12.6,13.2,0,NA,1366850,-93450,16872
PE,2022-08-02,15500.0,14.85,15.9,12.1,14.25,0.86,NA,1398700,31850,14504
PE,2022-08-03,15500.0,13.45,17.35,12.0,12.5,0.92,NA,1520000,121300,13370
PE,2022-08-04,15500.0,12.45,28.1,10.8,13.35,1.39,NA,1450550,-69450,18565
PE,2022-08-05,15500.0,12.95,12.95,9.8,10.35,0.49,NA,1415150,-35400,9158
PE,2022-08-08,15500.0,10.9,11.75,6.85,7.45,1.22,NA,1317300,-97850,11198
PE,2022-08-10,15500.0,7.45,8.3,5.5,5.85,1.31,NA,1117300,-200000,14634
PE,2022-08-11,15500.0,4.8,6.15,3.6,3.85,0.72,NA,989750,-127550,10542
PE,2022-08-12,15500.0,4.05,4.05,2.5,2.85,0.62,NA,918600,-71150,6490
PE,2022-08-16,15500.0,2.5,3.65,2.1,2.6,0.55,NA,903950,-14650,3539
PE,2022-08-17,15500.0,2.95,2.95,2.1,2.35,2.97,NA,961200,57250,10511
PE,2022-08-18,15500.0,2.4,2.6,1.15,1.3,3.21,NA,1463500,502300,33695
PE,2022-08-19,15500.0,1.3,1.7,0.9,1.15,1.06,NA,1464600,1100,35825
PE,2022-08-22,15500.0,1.2,1.7,0.75,0.9,0.67,NA,1375500,-89100,23885
PE,2022-08-23,15500.0,0.7,1.05,0.7,0.9,0.69,NA,1352000,-23500,16487
PE,2022-08-24,15500.0,0.85,0.95,0.4,0.55,1.38,NA,1079000,-273000,22732
PE,2022-08-25,15500.0,0.25,0.4,0.05,0.05,1.18,NA,714000,-365000,26843
PE,2022-08-01,16000.0,37.0,37.0,26.15,27.1,0,NA,2044150,185200,33826
