Type,Date,StrikePrice,Open,High,Low,Close,Vol/Prev,CE/PE,OI,COI,Volume
PE,2022-02-01,15500.0,16.05,18.85,7.75,8.5,0,NA,1065000,61300,28370
PE,2022-02-02,15500.0,7.25,7.65,4.6,5.5,0.52,NA,1036050,-28950,14662
PE,2022-02-03,15500.0,5.5,9.3,4.7,8.0,0.67,NA,1053550,17500,9880
PE,2022-02-04,15500.0,8.0,9.95,6.25,6.9,1.3,NA,1073800,20250,12852
PE,2022-02-07,15500.0,7.45,13.4,6.3,11.8,1.19,NA,1053800,-20000,15310
PE,2022-02-08,15500.0,11.75,16.45,7.7,8.3,1.0,NA,1044100,-9700,15331
PE,2022-02-09,15500.0,7.7,8.2,4.05,4.25,0.48,NA,1095000,50900,7346
PE,2022-02-10,15500.0,4.75,4.9,3.2,3.6,0.94,NA,1124450,29450,6884
PE,2022-02-11,15500.0,6.25,6.5,4.0,5.15,2.83,NA,1109200,-15250,19468
PE,2022-02-14,15500.0,9.3,28.0,6.25,23.1,2.82,NA,1309950,200750,54870
PE,2022-02-15,15500.0,22.0,23.05,5.05,5.9,0.68,NA,1185500,-124450,37353
PE,2022-02-16,15500.0,6.65,7.7,3.6,6.2,0.65,NA,1238050,52550,24465
PE,2022-02-17,15500.0,5.45,10.7,3.65,8.0,2.79,NA,1930200,692150,68379
PE,2022-02-18,15500.0,7.2,11.0,4.15,5.05,2.18,NA,2388850,458650,149244
PE,2022-02-21,15500.0,4.7,4.95,1.55,1.7,1.11,NA,2058850,-330000,165449
PE,2022-02-22,15500.0,6.8,9.9,1.85,2.15,1.51,NA,2332100,273250,249381
PE,2022-02-23,15500.0,2.0,2.0,0.5,0.7,0.45,NA,1617450,-714650,111372
PE,2022-02-24,15500.0,2.8,24.0,0.05,0.2,2.29,NA,1685050,67600,254930
PE,2022-02-01,16000.0,40.1,46.95,20.45,22.35,0,NA,2137400,-28650,55943
PE,2022-02-02,16000.0,20.1,20.1,10.45,10.95,0.56,NA,1688050,-449350,31411
PE,2022-02-03,16000.0,12.5,22.8,9.9,19.25,0.77,NA,1635000,-53050,24231
PE,2022-02-04,16000.0,20.0,23.15,14.35,15.8,1.05,NA,1673800,38800,25437
PE,2022-02-07,16000.0,20.0,37.3,14.05,29.8,1.46,NA,1801950,128150,37189
PE,2022-02-08,16000.0,30.35,41.4,19.1,20.35,0.9,NA,1840300,38350,33338
PE,2022-02-09,16000.0,16.05,17.95,8.5,8.95,0.81,NA,1696450,-143850,27107
PE,2022-02-10,16000.0,8.65,10.35,5.9,6.45,0.75,NA,1736000,39550,20253
PE,2022-02-11,16000.0,10.0,15.2,8.0,12.3,2.36,NA,1897150,161150,47808
PE,2022-02-14,16000.0,38.9,98.9,22.05,61.75,2.18,NA,2140950,243800,104457
PE,2022-02-15,16000.0,48.4,55.95,12.15,13.95,0.89,NA,2088450,-52500,93263
PE,2022-02-16,16000.0,11.0,17.0,7.65,13.25,0.65,NA,2049300,-39150,60866
PE,2022-02-17,16000.0,9.8,20.2,8.1,17.35,2.38,NA,3064400,1015100,144692
PE,2022-02-18,16000.0,17.0,27.85,10.05,11.9,2.43,NA,4192600,1128200,352160
PE,2022-02-21,16000.0,12.9,13.75,4.2,4.85,1.19,NA,4611400,418800,420224
PE,2022-02-22,16000.0,14.9,48.0,5.2,5.9,2.03,NA,6286850,1675450,853356
PE,2022-02-23,16000.0,3.9,3.9,0.7,0.95,0.51,NA,4744300,-1542550,434634
PE,2022-02-24,16000.0,3.95,124.0,0.05,0.4,3.99,NA,5178200,433900,1734097
PE,2022-02-01,16500.0,88.0,110.85,51.1,55.4,0,NA,4133900,341850,97104
PE,2022-02-02,16500.0,49.7,49.7,25.35,26.0,0.52,NA,4049150,-84750,50537
PE,2022-02-03,16500.0,28.9,55.5,25.0,47.45,0.66,NA,3947600,-101550,33347
PE,2022-02-04,16500.0,46.5,55.5,35.8,40.6,1.63,NA,3677900,-269700,54414
