Type,Date,StrikePrice,Open,High,Low,Close,Vol/Prev,CE/PE,OI,COI,Volume
PE,2022-06-01,15000.0,34.65,41.75,30.25,35.1,0,NA,2366700,-15600,19000
PE,2022-06-02,15000.0,41.85,41.85,27.0,27.8,1.07,NA,2329300,-37400,20360
PE,2022-06-03,15000.0,22.25,26.35,19.75,24.85,1.2,NA,2315300,-14000,24514
PE,2022-06-06,15000.0,25.35,32.7,23.5,24.25,0.78,NA,2303200,-12100,19124
PE,2022-06-07,15000.0,29.45,34.7,26.2,26.85,1.0,NA,2342450,39250,19114
PE,2022-06-08,15000.0,25.25,32.45,17.8,24.3,1.69,NA,2293600,-48850,32297
PE,2022-06-09,15000.0,28.15,29.65,17.05,17.55,0.85,NA,2370900,77300,27535
PE,2022-06-10,15000.0,24.85,29.4,21.55,26.55,1.38,NA,2620750,249850,38133
PE,2022-06-13,15000.0,72.55,105.7,57.2,84.55,2.62,NA,2801500,180750,99764
PE,2022-06-14,15000.0,89.95,98.5,61.5,75.75,0.67,NA,3134900,333400,67097
PE,2022-06-15,15000.0,64.55,97.5,63.0,79.85,0.65,NA,3175000,40100,43536
PE,2022-06-16,15000.0,53.45,174.9,40.65,163.55,3.41,NA,3315000,140000,148653
PE,2022-06-17,15000.0,169.5,204.0,128.6,152.6,0.82,NA,2846050,-468950,121401
PE,2022-06-20,15000.0,147.4,179.85,104.0,114.25,0.8,NA,2940950,94900,96734
PE,2022-06-21,15000.0,80.0,89.7,41.35,44.9,1.44,NA,3051200,110250,139273
PE,2022-06-22,15000.0,48.95,84.6,43.2,69.7,1.06,NA,3254000,202800,147922
PE,2022-06-23,15000.0,53.3,74.6,29.3,32.45,2.23,NA,3883250,629250,330568
PE,2022-06-24,15000.0,25.0,27.2,11.25,14.25,2.13,NA,5249800,1366550,703688
PE,2022-06-27,15000.0,6.7,7.7,3.85,4.35,1.14,NA,8603700,3353900,801148
PE,2022-06-28,15000.0,4.55,4.8,2.0,2.15,0.98,NA,8007450,-596250,788071
PE,2022-06-29,15000.0,1.9,2.85,1.1,1.3,1.07,NA,7360700,-646750,845438
PE,2022-06-30,15000.0,1.05,1.1,0.05,0.1,0.51,NA,5035700,-2325000,428370
PE,2022-06-01,15500.0,73.5,92.35,66.2,78.0,0,NA,3116700,4800,20150
PE,2022-06-02,15500.0,81.05,85.4,60.1,62.0,1.43,NA,3029850,-86850,28750
PE,2022-06-03,15500.0,52.65,61.55,44.15,58.4,1.17,NA,3057650,27800,33716
PE,2022-06-06,15500.0,59.95,75.15,53.8,56.75,0.61,NA,3073200,15550,20653
PE,2022-06-07,15500.0,61.8,84.6,61.8,66.9,1.19,NA,3212200,139000,24638
PE,2022-06-08,15500.0,60.0,80.1,46.3,63.75,1.26,NA,3233900,21700,31069
PE,2022-06-09,15500.0,70.75,78.0,41.6,44.1,1.05,NA,3185400,-48500,32753
PE,2022-06-10,15500.0,67.2,80.75,60.0,73.35,1.17,NA,3168000,-17400,38467
