Type,Date,StrikePrice,Open,High,Low,Close,Vol/Prev,CE/PE,OI,COI,Volume
PE,2022-03-02,15000.0,124.95,143.7,105.3,111.65,0,NA,2420500,180300,33612
PE,2022-03-03,15000.0,100.0,120.8,82.95,112.55,0.88,NA,2635600,215100,29605
PE,2022-03-04,15000.0,158.4,161.4,100.0,129.15,2.04,NA,2698650,63050,60258
PE,2022-03-07,15000.0,165.0,244.1,165.0,195.45,1.96,NA,2957350,258700,118140
PE,2022-03-08,15000.0,215.05,239.75,147.25,153.4,0.59,NA,2913850,-43500,69988
PE,2022-03-09,15000.0,153.0,153.0,76.5,85.25,0.91,NA,2882050,-31800,63476
PE,2022-03-10,15000.0,57.7,78.55,40.1,55.8,1.08,NA,2894350,12300,68338
PE,2022-03-11,15000.0,70.0,70.0,45.55,47.15,0.45,NA,3005400,111050,30431
PE,2022-03-14,15000.0,45.8,50.1,35.0,37.0,1.16,NA,3009200,3800,35161
PE,2022-03-15,15000.0,38.8,59.65,32.7,47.4,0.85,NA,2958575,-50625,29777
PE,2022-03-16,15000.0,38.0,38.0,18.55,19.9,1.25,NA,2859125,-99450,37231
PE,2022-03-17,15000.0,16.75,16.75,10.55,12.75,0.91,NA,2641175,-217950,33775
PE,2022-03-21,15000.0,11.45,11.8,7.9,8.35,1.01,NA,2658875,17700,33973
PE,2022-03-22,15000.0,10.7,10.7,3.6,3.95,0.9,NA,2451825,-207050,30654
PE,2022-03-23,15000.0,3.05,4.75,2.75,3.65,0.72,NA,2482375,30550,22092
PE,2022-03-24,15000.0,4.45,5.85,2.3,2.55,1.98,NA,3090725,608350,43769
PE,2022-03-25,15000.0,2.05,2.3,1.55,2.05,1.62,NA,3176725,86000,70995
PE,2022-03-28,15000.0,2.0,2.0,0.95,1.0,0.59,NA,2968675,-208050,42087
PE,2022-03-29,15000.0,0.85,1.0,0.7,0.8,0.69,NA,2804725,-163950,28976
PE,2022-03-30,15000.0,0.8,0.8,0.25,0.3,1.38,NA,2193125,-611600,40021
PE,2022-03-31,15000.0,0.3,0.4,0.05,0.1,0.58,NA,1897325,-295800,23094
PE,2022-03-02,15500.0,170.0,227.95,170.0,181.25,0,NA,3545800,73200,27667
PE,2022-03-03,15500.0,147.2,198.0,139.05,189.9,1.65,NA,3356400,-189400,45574
PE,2022-03-04,15500.0,236.8,266.75,170.0,219.65,1.24,NA,3471000,114600,56505
PE,2022-03-07,15500.0,316.15,399.35,302.55,326.3,1.75,NA,3126000,-345000,98985
PE,2022-03-08,15500.0,351.65,392.4,253.25,261.65,0.81,NA,3362450,236450,80612
PE,2022-03-09,15500.0,252.0,263.2,139.3,153.15,0.99,NA,3479500,117050,80007
PE,2022-03-10,15500.0,122.0,140.25,75.3,100.6,0.85,NA,3253700,-225800,68093
PE,2022-03-11,15500.0,120.0,120.0,85.25,90.05,0.58,NA,3135050,-118650,39821
PE,2022-03-14,15500.0,94.05,96.55,65.0,69.5,0.95,NA,2974800,-160250,37858
PE,2022-03-15,15500.0,65.25,112.15,61.2,89.95,1.06,NA,2913750,-61050,40000
PE,2022-03-16,15500.0,65.35,65.35,36.25,38.05,1.17,NA,2646350,-267400,46712
PE,2022-03-17,15500.0,22.55,30.85,19.5,21.5,0.87,NA,2346650,-299700,40678
PE,2022-03-21,15500.0,20.0,21.0,15.2,18.05,0.81,NA,2327900,-18750,32983
PE,2022-03-22,15500.0,15.05,19.8,7.7,8.15,1.44,NA,2383000,55100,47455
PE,2022-03-23,15500.0,5.3,9.95,5.3,7.65,0.85,NA,2428700,45700,40226
PE,2022-03-24,15500.0,8.4,8.45,3.75,4.95,2.15,NA,3511600,1082900,86658
PE,2022-03-25,15500.0,3.6,4.0,2.7,3.05,1.59,NA,2936750,-574850,138052
PE,2022-03-28,15500.0,3.6,3.6,1.15,1.25,0.83,NA,2838950,-97800,115095
PE,2022-03-29,15500.0,1.1,1.2,0.8,1.0,0.62,NA,2600350,-238600,71178
PE,2022-03-30,15500.0,0.95,1.0,0.4,0.55,0.6,NA,2431050,-169300,42395
