Type,Date,StrikePrice,Open,High,Low,Close,Vol/Prev,CE/PE,OI,COI,Volume
PE,2022-05-02,15000.0,16.45,18.75,12.35,12.95,0,NA,1422650,70100,13858
PE,2022-05-04,15000.0,12.0,25.0,10.7,21.0,1.76,NA,1580250,157600,24397
PE,2022-05-05,15000.0,15.95,16.0,9.25,13.95,0.74,NA,1562000,-18250,17981
PE,2022-05-06,15000.0,16.0,32.7,14.75,29.45,3.46,NA,1701450,139450,62216
PE,2022-05-09,15000.0,35.15,42.5,25.75,29.8,0.77,NA,1835400,133950,48051
PE,2022-05-10,15000.0,28.0,33.5,21.65,29.6,0.74,NA,2008400,173000,35577
PE,2022-05-11,15000.0,23.0,53.95,20.35,28.9,1.99,NA,2269300,260900,70749
PE,2022-05-12,15000.0,44.75,83.05,36.8,71.4,1.53,NA,2732900,463600,107910
PE,2022-05-13,15000.0,52.95,66.85,33.9,58.95,0.82,NA,2799800,66900,88945
PE,2022-05-16,15000.0,52.75,63.15,34.7,41.7,0.66,NA,2993050,193250,59099
PE,2022-05-17,15000.0,33.05,33.05,10.35,11.7,1.52,NA,2810500,-182550,89958
PE,2022-05-18,15000.0,10.0,13.45,6.45,8.0,0.85,NA,2593550,-216950,76207
PE,2022-05-19,15000.0,29.65,36.85,15.8,32.85,3.0,NA,4603550,2010000,228331
PE,2022-05-20,15000.0,18.95,18.95,4.75,5.7,2.1,NA,5419000,815450,479397
PE,2022-05-23,15000.0,4.45,5.0,2.6,2.85,1.02,NA,5370000,-49000,489799
PE,2022-05-24,15000.0,1.6,2.7,1.15,1.25,0.86,NA,5218000,-152000,422892
PE,2022-05-25,15000.0,1.2,1.5,0.5,0.7,0.59,NA,4257400,-960600,248917
PE,2022-05-26,15000.0,0.6,0.6,0.05,0.05,0.92,NA,2686200,-1571200,228606
PE,2022-05-02,15500.0,39.0,39.7,27.7,29.4,0,NA,1878300,222200,24570
PE,2022-05-04,15500.0,25.05,64.4,24.9,53.75,1.63,NA,1996150,117850,39936
PE,2022-05-05,15500.0,48.0,48.0,23.6,37.2,0.71,NA,2108200,112050,28389
