Type,Date,StrikePrice,Open,High,Low,Close,Vol/Prev,CE/PE,OI,COI,Volume
PE,2022-10-03,17000.0,467.85,552.9,437.3,533.0,0,NA,337650,-21050,3807
PE,2022-10-04,17000.0,410.05,450.0,338.0,343.8,2.95,NA,304600,-33050,11242
PE,2022-10-06,17000.0,304.1,328.55,293.0,319.95,0.53,NA,400050,95450,5979
PE,2022-10-07,17000.0,339.95,348.0,301.0,310.85,0.73,NA,462300,62250,4362
PE,2022-10-10,17000.0,389.7,409.6,328.55,347.05,1.93,NA,520750,58450,8429
PE,2022-10-11,17000.0,345.3,469.0,345.3,450.3,0.86,NA,555500,34750,7238
PE,2022-10-12,17000.0,451.05,464.85,376.3,382.9,1.16,NA,622950,67450,8420
PE,2022-10-13,17000.0,381.0,472.8,381.0,425.45,0.99,NA,682350,59400,8362
PE,2022-10-14,17000.0,310.05,310.15,225.05,300.45,1.91,NA,809500,127150,16011
PE,2022-10-17,17000.0,317.75,338.4,254.0,259.3,0.69,NA,880150,70650,11068
PE,2022-10-18,17000.0,201.1,248.0,177.5,182.3,1.81,NA,1116850,236700,19986
PE,2022-10-19,17000.0,168.95,186.9,156.85,177.15,1.14,NA,1434600,317750,22720
PE,2022-10-20,17000.0,200.0,202.5,156.8,163.5,1.06,NA,1670850,236250,24193
PE,2022-10-21,17000.0,126.0,174.95,126.0,161.65,2.11,NA,2525050,854200,51141
PE,2022-10-25,17000.0,111.05,115.5,98.75,111.9,0.61,NA,2673200,56050,31096
PE,2022-10-27,17000.0,92.0,101.0,80.55,84.6,1.41,NA,2872250,199050,43839
PE,2022-10-28,17000.0,80.2,94.25,65.5,67.0,1.32,NA,2847750,-24500,57795
PE,2022-10-31,17000.0,48.8,52.15,35.05,38.15,0.88,NA,2806550,-41200,50817
PE,2022-11-01,17000.0,30.0,32.35,27.75,28.85,1.19,NA,2994050,187500,60376
PE,2022-10-03,17500.0,707.0,837.95,675.6,814.25,0,NA,127750,8150,1272
PE,2022-10-04,17500.0,654.35,654.35,551.35,558.1,1.47,NA,150400,22650,1864
PE,2022-10-06,17500.0,471.2,531.35,471.2,525.95,1.14,NA,162950,12550,2128
PE,2022-10-07,17500.0,552.0,574.65,501.05,514.7,0.8,NA,158100,-4850,1711
PE,2022-10-10,17500.0,582.0,661.5,525.0,566.6,1.63,NA,151700,-6400,2784
PE,2022-10-11,17500.0,581.95,741.3,579.05,718.45,0.71,NA,133200,-18500,1987
PE,2022-10-12,17500.0,705.4,732.7,615.1,628.05,0.86,NA,140100,6900,1707
PE,2022-10-13,17500.0,650.0,749.15,647.95,688.5,0.75,NA,148650,8550,1285
PE,2022-10-14,17500.0,600.0,600.0,449.75,533.55,3.79,NA,185750,37100,4871
PE,2022-10-17,17500.0,553.8,588.9,456.95,465.25,0.76,NA,201450,15700,3706
PE,2022-10-18,17500.0,381.0,405.0,339.0,348.25,3.39,NA,325800,124350,12545
PE,2022-10-19,17500.0,340.55,363.15,305.0,346.8,1.49,NA,566450,240650,18675
PE,2022-10-20,17500.0,381.55,392.8,312.0,323.3,1.21,NA,782000,215550,22644
PE,2022-10-21,17500.0,308.9,341.2,266.25,310.8,1.72,NA,1023300,241300,38997
PE,2022-10-25,17500.0,231.0,250.85,209.1,245.1,0.81,NA,1302400,71650,31617
PE,2022-10-27,17500.0,215.05,230.0,180.25,197.65,1.46,NA,1906650,604250,46287
PE,2022-10-28,17500.0,184.0,194.75,161.5,164.7,1.18,NA,2333050,426400,54709
PE,2022-10-31,17500.0,128.0,132.95,97.0,99.45,0.95,NA,2294400,-38650,51873
PE,2022-11-01,17500.0,83.0,87.7,72.0,74.2,1.07,NA,2172150,-122250,55754
PE,2022-10-03,18000.0,1012.0,1200.0,1007.95,1179.1,0,NA,87750,17400,644
PE,2022-10-04,18000.0,1196.25,1196.25,846.9,855.3,1.15,NA,90000,2250,741
PE,2022-10-06,18000.0,757.3,828.0,757.3,818.95,1.02,NA,90200,200,753
PE,2022-10-07,18000.0,849.95,885.0,797.25,807.25,0.82,NA,102000,11800,614
PE,2022-10-10,18000.0,956.0,1009.0,847.0,877.2,1.64,NA,119500,17500,1009
PE,2022-10-11,18000.0,907.95,1100.0,900.9,1067.7,0.77,NA,124650,5150,781
PE,2022-10-12,18000.0,1045.05,1095.95,947.0,952.3,2.43,NA,107850,-16800,1894
PE,2022-10-13,18000.0,984.05,1112.0,983.0,1037.8,0.61,NA,97150,-10700,1158
PE,2022-10-14,18000.0,802.05,882.6,747.0,872.25,1.95,NA,106100,8950,2254
PE,2022-10-17,18000.0,873.05,941.0,761.0,772.65,0.6,NA,123850,17750,1357
PE,2022-10-18,18000.0,674.0,674.0,600.0,618.2,2.49,NA,157450,33600,3377
PE,2022-10-19,18000.0,589.6,642.35,550.7,622.5,1.0,NA,186600,29150,3366
PE,2022-10-20,18000.0,672.65,687.5,570.4,579.35,1.09,NA,241600,55000,3653
PE,2022-10-21,18000.0,539.85,613.35,498.6,566.4,2.14,NA,348800,107200,7805
PE,2022-10-25,18000.0,454.1,493.5,419.55,482.75,1.28,NA,459300,59750,9978
PE,2022-10-27,18000.0,409.05,465.85,385.0,411.55,1.45,NA,519350,60050,14426
PE,2022-10-28,18000.0,381.0,405.0,350.5,368.6,1.34,NA,563400,44050,19347
PE,2022-10-31,18000.0,309.75,309.75,240.5,245.35,3.68,NA,1369750,806350,71111
PE,2022-11-01,18000.0,229.0,229.0,178.35,184.8,1.16,NA,2023750,654000,82296
PE,2022-10-03,18500.0,1470.8,1612.15,1440.0,1612.15,0,NA,22900,-300,43
PE,2022-10-04,18500.0,1393.65,1393.65,1232.0,1240.55,10.3,NA,33900,11000,443
PE,2022-10-06,18500.0,1133.8,1196.95,1114.5,1194.5,0.5,NA,42100,8200,220
PE,2022-10-07,18500.0,1222.0,1247.75,1173.0,1189.55,1.69,NA,36200,-5900,371
PE,2022-10-10,18500.0,1365.7,1428.95,1250.0,1288.85,0.47,NA,36600,400,174
PE,2022-10-11,18500.0,1319.0,1522.65,1300.05,1493.65,1.51,NA,38300,1700,262
PE,2022-10-12,18500.0,1497.55,1519.45,1370.0,1376.25,0.52,NA,36750,-1550,136
PE,2022-10-13,18500.0,1409.45,1523.3,1405.4,1480.35,1.02,NA,37250,500,139
PE,2022-10-14,18500.0,1190.0,1295.8,1135.35,1282.8,8.51,NA,46900,9650,1183
PE,2022-10-17,18500.0,1289.95,1359.85,1170.05,1183.9,0.53,NA,52350,5450,631
PE,2022-10-18,18500.0,1051.2,1057.3,974.0,993.85,2.02,NA,72450,20100,1273
PE,2022-10-19,18500.0,968.25,1030.0,914.95,1004.95,0.72,NA,84400,11950,915
PE,2022-10-20,18500.0,1075.0,1090.0,948.0,969.4,1.12,NA,107900,23500,1028
PE,2022-10-21,18500.0,911.0,989.5,852.35,951.35,1.36,NA,138600,30700,1394
PE,2022-10-25,18500.0,769.2,858.0,757.05,846.95,1.07,NA,179150,24550,1498
PE,2022-10-27,18500.0,725.5,825.5,719.55,759.35,6.58,NA,419350,240200,9850
PE,2022-10-28,18500.0,740.05,759.2,674.1,712.05,0.25,NA,419550,200,2417
PE,2022-10-31,18500.0,618.25,618.25,523.0,529.2,1.83,NA,451700,32150,4433
PE,2022-11-01,18500.0,455.0,485.0,407.9,418.25,2.9,NA,606200,154500,12843
PE,2022-10-03,19000.0,1894.15,2119.95,1885.0,2070.65,0,NA,31200,-200,42
PE,2022-10-04,19000.0,1912.0,1912.0,1671.25,1683.5,5.57,NA,35700,4500,234
PE,2022-10-06,19000.0,1575.0,1649.2,1558.0,1640.0,0.52,NA,38250,2550,121
PE,2022-10-07,19000.0,1697.65,1712.05,1624.05,1634.35,0.74,NA,41100,2850,90
PE,2022-10-10,19000.0,1820.0,1888.0,1690.1,1733.75,2.41,NA,44300,3200,217
PE,2022-10-11,19000.0,1824.8,1990.0,1811.0,1951.8,0.22,NA,45350,1050,47
PE,2022-10-12,19000.0,1965.95,2114.05,1840.0,1840.0,1.51,NA,45450,100,71
PE,2022-10-13,19000.0,1910.0,2010.0,1880.0,1930.75,0.82,NA,46200,750,58
PE,2022-10-14,19000.0,1664.9,1774.4,1590.0,1760.95,3.45,NA,47150,950,200
PE,2022-10-17,19000.0,1778.15,1810.0,1628.9,1656.5,1.4,NA,53600,6450,279
PE,2022-10-18,19000.0,1500.95,1500.95,1431.1,1454.3,1.18,NA,53950,350,328
PE,2022-10-19,19000.0,1416.2,1486.7,1364.35,1463.15,0.51,NA,55700,1750,166
PE,2022-10-20,19000.0,1541.45,1555.6,1404.15,1415.55,2.51,NA,68600,12900,417
PE,2022-10-21,19000.0,1368.55,1447.0,1298.0,1397.2,4.57,NA,140050,71450,1906
PE,2022-10-25,19000.0,1193.2,1313.0,1191.45,1292.25,1.28,NA,233750,92600,2431
PE,2022-10-27,19000.0,1189.85,1286.55,1170.0,1213.4,1.27,NA,271550,37800,3095
PE,2022-10-28,19000.0,1180.75,1219.15,1117.75,1165.95,0.29,NA,275100,3550,898
PE,2022-10-31,19000.0,1049.9,1049.9,942.5,953.0,0.9,NA,279500,4400,811
PE,2022-11-01,19000.0,875.0,900.0,794.45,801.55,5.02,NA,392500,113000,4068
CE,2022-10-03,17000.0,530.05,584.95,466.0,476.5,0,0.7378513265038088,150300,-3700,2809
CE,2022-10-04,17000.0,592.65,684.0,565.7,675.6,0.77,0.19124710905532824,149100,-1200,2150
CE,2022-10-06,17000.0,751.0,764.55,675.7,684.35,0.63,0.22779729051680883,136900,-12200,1362
CE,2022-10-07,17000.0,663.8,693.0,613.0,677.7,0.84,0.2608895002292526,144450,7550,1138
CE,2022-10-10,17000.0,550.05,641.2,510.5,607.6,3.64,0.49151738047217935,158600,14150,4143
CE,2022-10-11,17000.0,594.0,597.95,467.05,480.3,1.22,0.6989499861840287,163450,4850,5059
CE,2022-10-12,17000.0,547.0,547.95,465.0,540.7,1.11,0.6661520190023753,220200,56750,5609
CE,2022-10-13,17000.0,517.75,524.6,447.0,476.85,1.07,0.7166945706768716,277600,57400,5993
CE,2022-10-14,17000.0,603.0,660.0,526.0,536.3,1.12,0.4207732184123415,326000,48400,6737
CE,2022-10-17,17000.0,500.0,609.65,483.35,596.35,0.7,0.42500903505601734,339550,13550,4704
CE,2022-10-18,17000.0,650.0,746.0,650.0,714.85,1.12,0.26358450915640946,283250,-56300,5268
CE,2022-10-19,17000.0,740.95,783.95,682.2,706.45,0.56,0.13058978873239438,272050,-11200,2967
CE,2022-10-20,17000.0,652.5,748.0,630.0,732.35,1.1,0.13508039515562353,308550,36500,3268
