Type,Date,StrikePrice,Open,High,Low,Close,Vol/Prev,CE/PE,OI,COI,Volume
PE,2022-09-01,15000.0,19.95,24.75,10.0,11.3,0,NA,1162950,1350,5103
PE,2022-09-02,15000.0,10.05,11.45,9.15,10.15,0.67,NA,1192800,29850,3434
PE,2022-09-05,15000.0,10.6,10.6,8.25,8.6,0.69,NA,1184350,-8450,2380
PE,2022-09-06,15000.0,8.1,8.75,7.05,7.6,0.8,NA,1165750,-18600,1912
PE,2022-09-07,15000.0,10.0,10.0,6.8,7.15,0.87,NA,1162150,-3600,1654
PE,2022-09-08,15000.0,6.35,7.25,5.7,6.0,1.56,NA,1132650,-29500,2583
PE,2022-09-09,15000.0,5.05,5.8,4.2,4.7,1.16,NA,1106400,-26250,2988
PE,2022-09-12,15000.0,4.15,5.75,3.6,5.2,0.53,NA,1088850,-17550,1573
PE,2022-09-13,15000.0,4.15,5.25,4.1,4.8,2.22,NA,1080700,-8150,3488
PE,2022-09-14,15000.0,4.85,7.0,3.3,3.75,1.51,NA,936400,-144300,5263
PE,2022-09-15,15000.0,3.5,4.0,2.7,2.85,0.48,NA,894750,-41650,2516
PE,2022-09-16,15000.0,2.85,3.9,2.55,2.75,2.26,NA,901050,6300,5685
PE,2022-09-19,15000.0,2.8,3.9,2.55,2.8,0.62,NA,866550,-34500,3549
PE,2022-09-20,15000.0,2.8,3.05,2.25,2.45,0.84,NA,885250,18700,2998
PE,2022-09-21,15000.0,2.4,2.5,1.45,1.65,1.72,NA,937450,52200,5170
PE,2022-09-22,15000.0,1.9,1.95,1.0,1.15,1.67,NA,989450,52000,8622
PE,2022-09-23,15000.0,1.5,1.6,0.8,1.2,5.29,NA,1497250,507800,45573
PE,2022-09-26,15000.0,1.2,1.8,1.1,1.3,0.84,NA,1546150,48900,38506
PE,2022-09-27,15000.0,1.2,1.4,0.6,0.8,0.56,NA,1421200,-124950,21627
PE,2022-09-28,15000.0,0.55,1.05,0.3,0.5,0.87,NA,1359550,-61650,18750
PE,2022-09-29,15000.0,0.35,0.5,0.05,0.05,0.85,NA,1207300,-152250,15979
PE,2022-09-01,15500.0,20.45,23.15,14.6,16.6,0,NA,842200,5700,8550
PE,2022-09-02,15500.0,16.05,17.4,13.95,15.2,0.73,NA,859500,17300,6229
PE,2022-09-05,15500.0,14.25,14.45,12.0,12.15,1.32,NA,953400,93900,8204
