Type,Date,StrikePrice,Open,High,Low,Close,Vol/Prev,CE/PE,OI,COI,Volume
PE,2022-10-27,18000.0,409.05,465.85,385.0,411.55,0,NA,519350,60050,14426
PE,2022-10-28,18000.0,381.0,405.0,350.5,368.6,1.34,NA,563400,44050,19347
PE,2022-10-31,18000.0,309.75,309.75,240.5,245.35,3.68,NA,1369750,806350,71111
PE,2022-11-01,18000.0,229.0,229.0,178.35,184.8,1.16,NA,2023750,654000,82296
PE,2022-11-03,18000.0,246.85,267.4,201.9,205.8,1.24,NA,2354050,368350,102240
PE,2022-11-04,18000.0,210.0,217.5,155.0,165.0,0.85,NA,2937450,583400,87383
PE,2022-10-27,18100.0,445.3,520.0,439.5,474.8,0,NA,56150,28400,1354
PE,2022-10-28,18100.0,436.35,463.5,401.9,429.05,1.44,NA,65300,9150,1945
PE,2022-10-31,18100.0,333.45,336.25,284.0,289.45,4.89,NA,176850,111550,9511
PE,2022-11-01,18100.0,223.0,263.65,215.0,222.45,6.45,NA,1015900,839050,61337
PE,2022-11-03,18100.0,276.55,308.8,241.5,246.6,0.82,NA,717350,-135400,50248
PE,2022-11-04,18100.0,221.0,263.5,186.3,201.9,1.12,NA,974650,257300,56039
PE,2022-10-27,18200.0,511.05,588.1,500.8,531.1,0,NA,96350,60750,2333
PE,2022-10-28,18200.0,506.0,530.0,462.95,486.8,1.8,NA,200450,104100,4198
PE,2022-10-31,18200.0,390.95,393.5,335.0,341.9,2.12,NA,346900,146450,8891
PE,2022-11-01,18200.0,280.0,310.0,255.1,262.1,4.97,NA,882500,535600,44172
PE,2022-11-03,18200.0,360.25,361.8,288.75,293.1,0.47,NA,830600,12200,20979
PE,2022-11-04,18200.0,292.3,313.0,230.0,243.2,1.08,NA,905250,74650,22696
PE,2022-10-27,18300.0,589.8,655.0,566.1,596.6,0,NA,26200,15800,660
PE,2022-10-28,18300.0,585.9,599.0,523.0,556.9,0.82,NA,34050,7850,539
PE,2022-10-31,18300.0,450.0,450.0,390.4,396.25,4.72,NA,60050,26000,2545
PE,2022-11-01,18300.0,330.55,362.5,299.6,307.2,5.09,NA,241350,181300,12962
PE,2022-11-03,18300.0,347.0,410.45,339.2,344.85,0.47,NA,139150,-42150,6062
PE,2022-11-04,18300.0,346.95,366.75,279.0,290.7,0.64,NA,156650,17500,3869
PE,2022-10-27,18400.0,651.0,737.2,645.15,660.8,0,NA,16950,6800,488
PE,2022-10-28,18400.0,640.0,675.7,596.5,628.35,0.64,NA,20300,3350,310
PE,2022-10-31,18400.0,517.95,517.95,453.15,459.9,2.16,NA,25100,4800,669
PE,2022-11-01,18400.0,364.2,420.95,352.1,359.75,4.98,NA,82550,57450,3332
PE,2022-11-03,18400.0,458.55,466.1,395.0,403.55,0.8,NA,86050,-6250,2654
PE,2022-11-04,18400.0,386.25,430.0,327.7,344.3,0.75,NA,86250,200,1993
PE,2022-10-27,18500.0,725.5,825.5,719.55,759.35,0,NA,419350,240200,9850
PE,2022-10-28,18500.0,740.05,759.2,674.1,712.05,0.25,NA,419550,200,2417
